"country","year","country_name","ISO","COWcode","Region_UN","Vdem_libdem_z","Vdem_libdem_m1","ChgDem","Vdem_regime_di","Vdem_polyarchy_z","Vdem_liberal_z","corruption_z","corruption_m1","swiid_gini","swiid_gini_m1","edu_year","edu_year_m1","DemYear_z","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1"
"Chile",1987,"Chile","CHL",155,"South America",-1.41680804625337,-0.48274301623274,-0.934065030020632,0,-1.74757193822979,-1.83226534040251,NA,NA,48.3,NA,NA,NA,-1.47948608715424,8.78063379949498,8.40028583540436,8.72891172506098,8.32783551040095
"China",1987,"China","CHN",710,"Eastern Asia",-1.41310143899139,-1.41680804625337,0.00370660726198668,0,-1.690639645903,-1.84777026511078,NA,NA,29.7,48.3,NA,NA,NA,7.82803803212583,6.63978566191785,7.78696700261487,6.52074204238587
"Colombia",1987,"Colombia","COL",100,"South America",-0.490156230756713,-1.41310143899139,0.922945208234673,0,-0.362219491611159,-0.246886788981871,NA,NA,50.6,29.7,NA,NA,-1.40396331830657,8.77971129020447,8.35704355694494,8.79361207158931,8.30048151212591
"Costa Rica",1987,"Costa Rica","CRI",94,"Central America",1.28530864773489,-0.490156230756713,1.7754648784916,1,1.18254337352249,1.0361457306275,NA,NA,40.1,50.6,NA,NA,-1.65468060798406,8.93168411073171,8.3663816439467,8.96187901267768,8.32160292207459
"Côte d’Ivoire",1987,"Côte d’Ivoire","CIV",437,"Western Africa",-1.05356053457868,1.28530864773489,-2.33886918231357,0,-1.38700075349343,-0.743044379646521,NA,NA,45.7,40.1,NA,NA,-0.445181133901542,8.03171037532204,7.9723124945552,8.10681603894705,7.99010364157195
"Croatia",1987,"Croatia","HRV",345,"Southern Europe",-1.10174642898451,-1.05356053457868,-0.0481858944058262,0,-1.55020665816357,NA,NA,NA,NA,45.7,NA,NA,-0.919219323375134,9.70959935937071,9.67406842317041,9.71341604228211,9.78360564697392
"Cyprus",1987,"Cyprus","CYP",352,"Western Asia",0.369776654024187,-1.10174642898451,1.47152308300869,1,0.491764893290736,0.458587285244427,NA,NA,30.3,NA,NA,NA,-1.65468060798406,9.78363362406065,9.04917106159145,9.71462464769875,8.97114938217495
"Czechia",1987,"Czechia","CZE",315,"Eastern Europe",-1.36862215184755,0.369776654024187,-1.73839880587173,0,-1.52363825507774,-1.77799810392356,NA,NA,NA,30.3,NA,NA,-1.40396331830657,9.87055105228986,9.83897758880897,9.84781626766566,10.052995815986
"Denmark",1987,"Denmark","DNK",390,"Northern Europe",1.59666365774176,-1.36862215184755,2.96528580958931,1,1.32297636126191,1.32686306890756,NA,NA,24,NA,NA,NA,-1.65468060798406,10.0948927280631,9.83785930701594,10.0717524423403,9.81215847469959
"Dominican Republic",1987,"Dominican Republic","DOM",42,"Caribbean",-0.612474270402272,1.59666365774176,-2.20913792814404,1,-0.145876780769345,-0.793435384948399,NA,NA,45.7,24,NA,NA,-1.31710554819635,8.54927308487965,8.12698524865069,8.49923286603924,8.02613533376869
"Ecuador",1987,"Ecuador","ECU",130,"South America",0.102900931161149,-0.612474270402272,0.715375201563421,1,0.594243019478963,-0.126723622492776,NA,NA,NA,45.7,NA,NA,-1.65468060798406,8.44203851781548,8.29225120040186,8.51097389160232,8.35383795434659
"Egypt",1987,"Egypt","EGY",651,"Northern Africa",-1.00166803291087,0.102900931161149,-1.10456896407202,0,-1.22379484882329,-0.684900911990507,NA,NA,39.2,NA,NA,NA,NA,8.37355374121463,8.18537584867118,8.36985260351753,8.14619182230706
"El Salvador",1987,"El Salvador","SLV",92,"Central America",-1.26854375577391,-1.00166803291087,-0.266875722863038,0,-1.31109103039104,-1.60744393213259,NA,NA,NA,39.2,NA,NA,-1.030895526671,7.91717198884578,7.84034315252574,7.93092537248339,7.80402906071552
"Estonia",1987,"Estonia","EST",365,"Northern Europe",-1.39827500994344,-1.26854375577391,-0.129731254169532,0,-1.5160472827675,NA,NA,NA,NA,NA,NA,NA,-1.4227910535646,9.20943996673302,9.44324851287331,9.20763672040187,8.98217540712023
"Eswatini",1987,"Eswatini","SWZ",572,"Southern Africa",-1.20182482505815,-1.39827500994344,0.196450184885292,0,-1.54261568585333,-1.12679126617621,NA,NA,54.3,NA,NA,NA,NA,8.47782846789396,7.93107217922633,8.3165447179294,7.84538268758147
"Ethiopia",1987,"Ethiopia","ETH",530,"Eastern Africa",-1.50206001327906,-1.20182482505815,-0.300235188220917,0,-1.68304867359276,-2.21213599575513,NA,NA,NA,54.3,NA,NA,NA,6.95368421087054,5.97707014388607,6.89060912014717,5.85472864003357
"Finland",1987,"Finland","FIN",375,"Northern Europe",1.35573418571263,-1.50206001327906,2.8577941989917,1,1.14079302581618,1.23770975183501,NA,NA,20.6,NA,NA,NA,-1.65468060798406,9.9992976073821,9.62369721557712,9.95589023132918,9.56712429395717
"France",1987,"France","FRA",220,"Western Europe",1.30754829130681,1.35573418571263,-0.0481858944058264,1,1.15977045659177,1.13692774123125,NA,NA,30.1,20.6,NA,NA,-1.65468060798406,10.0134176119083,9.64323269132379,9.99227651535019,9.59921869236208
