"","country","year","item","r","n","survey","cc_rank"
"87","Mexico",2004,"strong_amb_2",2,1220.99303236347,"amb_combo",313
"88","Mexico",2004,"threestate_amb",1,150.999138318497,"amb_combo",313
"89","Mexico",2004,"threestate_amb",2,215.998767395996,"amb_combo",313
"90","Mexico",2004,"threestate_amb",3,1056.99396822948,"amb_combo",313
"91","Mexico",2004,"threestate_lb",1,189.255949693691,"lb2004",313
"92","Mexico",2004,"threestate_lb",2,315.171613607477,"lb2004",313
"93","Mexico",2004,"threestate_lb",3,648.640034976394,"lb2004",313
"94","Mexico",2005,"army_wvs",1,86.0714418716699,"wvs_combo",313
"95","Mexico",2005,"army_wvs",2,513.426159071705,"wvs_combo",313
"96","Mexico",2005,"army_wvs",3,653.542459793029,"wvs_combo",313
"97","Mexico",2005,"army_wvs",4,200.166143887604,"wvs_combo",313
"98","Mexico",2005,"church_lb",1,24.0309499295614,"lb2005",313
"99","Mexico",2005,"church_lb",2,234.239265685997,"lb2005",313
"100","Mexico",2005,"church_lb",3,702.746067497955,"lb2005",313
"101","Mexico",2005,"church_lb",4,197.305406734251,"lb2005",313
"102","Mexico",2005,"evdemoc_wvs",1,20.0166143887604,"wvs_combo",313
"103","Mexico",2005,"evdemoc_wvs",2,181.150360218282,"wvs_combo",313
"104","Mexico",2005,"evdemoc_wvs",3,853.708603680633,"wvs_combo",313
"105","Mexico",2005,"evdemoc_wvs",4,402.333949214085,"wvs_combo",313
"106","Mexico",2005,"impdemoc_wvs",1,67.0556582023475,"wvs_combo",313
"107","Mexico",2005,"impdemoc_wvs",2,8.00664575550418,"wvs_combo",313
"108","Mexico",2005,"impdemoc_wvs",3,10.0083071943802,"wvs_combo",313
"109","Mexico",2005,"impdemoc_wvs",4,14.0116300721323,"wvs_combo",313
"110","Mexico",2005,"impdemoc_wvs",5,56.0465202885293,"wvs_combo",313
"111","Mexico",2005,"impdemoc_wvs",6,49.0407052524631,"wvs_combo",313
"112","Mexico",2005,"impdemoc_wvs",7,60.0498431662813,"wvs_combo",313
"113","Mexico",2005,"impdemoc_wvs",8,168.139560865588,"wvs_combo",313
"114","Mexico",2005,"impdemoc_wvs",9,177.14703734053,"wvs_combo",313
"115","Mexico",2005,"impdemoc_wvs",10,905.75180109141,"wvs_combo",313
"116","Mexico",2005,"strong_wvs",1,126.104670649191,"wvs_combo",313
"117","Mexico",2005,"strong_wvs",2,715.593964398186,"wvs_combo",313
"118","Mexico",2005,"strong_wvs",3,479.397914610813,"wvs_combo",313
"119","Mexico",2005,"strong_wvs",4,129.107162807505,"wvs_combo",313
"120","Mexico",2005,"threestate_lb",1,157.403670470185,"lb2005",313
"121","Mexico",2005,"threestate_lb",2,284.106676881915,"lb2005",313
"122","Mexico",2005,"threestate_lb",3,703.385072938055,"lb2005",313
"123","Mexico",2006,"church_amb",1,59.9996576099988,"amb_combo",313
"124","Mexico",2006,"church_amb",2,55.9996804359988,"amb_combo",313
"125","Mexico",2006,"church_amb",3,130.999252448497,"amb_combo",313
"126","Mexico",2006,"church_amb",4,205.998824460996,"amb_combo",313
"127","Mexico",2006,"church_amb",5,300.998282343494,"amb_combo",313
"128","Mexico",2006,"church_amb",6,321.998162506993,"amb_combo",313
"129","Mexico",2006,"church_amb",7,389.997774464992,"amb_combo",313
"130","Mexico",2006,"church_lb",1,52.1766405345766,"lb2006",313
"131","Mexico",2006,"church_lb",2,241.720348193571,"lb2006",313
"132","Mexico",2006,"church_lb",3,635.09345831773,"lb2006",313
"133","Mexico",2006,"church_lb",4,184.899227073175,"lb2006",313
"134","Mexico",2006,"strong_amb_1",1,169.999029894996,"amb_combo",313
"135","Mexico",2006,"strong_amb_1",2,1263.99278698397,"amb_combo",313
"136","Mexico",2006,"threestate_amb",1,183.998950003996,"amb_combo",313
"137","Mexico",2006,"threestate_amb",2,179.998972829996,"amb_combo",313
"138","Mexico",2006,"threestate_amb",3,992.994333445479,"amb_combo",313
"139","Mexico",2006,"threestate_lb",1,183.273899915636,"lb2006",313
"140","Mexico",2006,"threestate_lb",2,217.753185478841,"lb2006",313
"141","Mexico",2006,"threestate_lb",3,648.208528291952,"lb2006",313
"142","Mexico",2007,"church_lb",1,59.9999988836996,"lb2007",313
"143","Mexico",2007,"church_lb",2,283.999994716178,"lb2007",313
"144","Mexico",2007,"church_lb",3,610.999988632341,"lb2007",313
"145","Mexico",2007,"church_lb",4,176.999996706914,"lb2007",313
"146","Mexico",2007,"impdemoc_pew",1,14.1162738453266,"pew2007",313
"147","Mexico",2007,"impdemoc_pew",2,66.559707386751,"pew2007",313
"148","Mexico",2007,"impdemoc_pew",3,275.628498202269,"pew2007",313
"149","Mexico",2007,"impdemoc_pew",4,454.892939165775,"pew2007",313
"150","Mexico",2007,"strong_pew",1,238.522533989583,"pew2007",313
"151","Mexico",2007,"strong_pew",2,543.781764331143,"pew2007",313
"152","Mexico",2007,"threestate_lb",1,167.999996874359,"lb2007",313
"153","Mexico",2007,"threestate_lb",2,357.999993339408,"lb2007",313
"154","Mexico",2007,"threestate_lb",3,575.999989283516,"lb2007",313
"155","Mexico",2008,"church_amb",1,78.9995491864984,"amb_combo",313
"156","Mexico",2008,"church_amb",2,69.9996005449986,"amb_combo",313
"157","Mexico",2008,"church_amb",3,117.999326632998,"amb_combo",313
"158","Mexico",2008,"church_amb",4,206.998818754496,"amb_combo",313
"159","Mexico",2008,"church_amb",5,283.998379353994,"amb_combo",313
"160","Mexico",2008,"church_amb",6,328.998122561493,"amb_combo",313
"161","Mexico",2008,"church_amb",7,400.997711693492,"amb_combo",313
"162","Mexico",2008,"church_lb",1,32.0060249036459,"lb2008",313
"163","Mexico",2008,"church_lb",2,260.048952342123,"lb2008",313
"164","Mexico",2008,"church_lb",3,678.127652645998,"lb2008",313
"165","Mexico",2008,"church_lb",4,152.028618292318,"lb2008",313
"166","Mexico",2008,"strong_amb_1",1,220.998738863495,"amb_combo",313
"167","Mexico",2008,"strong_amb_1",2,1272.99273562547,"amb_combo",313
"168","Mexico",2008,"threestate_amb",1,184.998944297496,"amb_combo",313
"169","Mexico",2008,"threestate_amb",2,178.998978536496,"amb_combo",313
"170","Mexico",2008,"threestate_amb",3,1094.99375138248,"amb_combo",313
"171","Mexico",2008,"threestate_lb",1,176.033136970053,"lb2008",313
"172","Mexico",2008,"threestate_lb",2,384.072298843751,"lb2008",313
"173","Mexico",2008,"threestate_lb",3,518.097528127768,"lb2008",313
"174","Mexico",2009,"church_lb",1,58.0000000051405,"lb2009",313
"175","Mexico",2009,"church_lb",2,312.000000027653,"lb2009",313
"176","Mexico",2009,"church_lb",3,588.000000052114,"lb2009",313
"177","Mexico",2009,"church_lb",4,156.000000013826,"lb2009",313
"178","Mexico",2009,"threestate_lb",1,173.000000015333,"lb2009",313
"179","Mexico",2009,"threestate_lb",2,402.000000035629,"lb2009",313
"180","Mexico",2009,"threestate_lb",3,505.000000044758,"lb2009",313
"181","Mexico",2010,"church_amb",1,54.9996861424989,"amb_combo",313
"182","Mexico",2010,"church_amb",2,62.9996404904987,"amb_combo",313
