country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,2005,strong_wvs,4,612.5078163,wvs_combo,332,NA
Colombia,2005,threestate_amb,1,255,amb_colombia2005,332,NA
Colombia,2005,threestate_amb,2,190,amb_colombia2005,332,NA
Colombia,2005,threestate_amb,3,895,amb_colombia2005,332,NA
Colombia,2005,threestate_lb,1,255.1004578,lb2005,332,NA
Colombia,2005,threestate_lb,2,389.1532474,lb2005,332,NA
Colombia,2005,threestate_lb,3,556.2190375,lb2005,332,NA
Colombia,2006,church_amb,1,33.99980598,amb_combo,332,NA
Colombia,2006,church_amb,2,49.99971467,amb_combo,332,NA
Colombia,2006,church_amb,3,107.9993837,amb_combo,332,NA
Colombia,2006,church_amb,4,213.9987788,amb_combo,332,NA
Colombia,2006,church_amb,5,263.9984935,amb_combo,332,NA
Colombia,2006,church_amb,6,290.9983394,amb_combo,332,NA
Colombia,2006,church_amb,7,438.9974948,amb_combo,332,NA
Colombia,2006,church_lb,1,92.38682208,lb2006,332,NA
Colombia,2006,church_lb,2,211.9571943,lb2006,332,NA
Colombia,2006,church_lb,3,661.8308414,lb2006,332,NA
Colombia,2006,church_lb,4,216.7635637,lb2006,332,NA
Colombia,2006,strong_amb_1,1,131.9992467,amb_combo,332,NA
Colombia,2006,strong_amb_1,2,1299.992582,amb_combo,332,NA
Colombia,2006,threestate_amb,1,223.9987217,amb_combo,332,NA
Colombia,2006,threestate_amb,2,144.9991726,amb_combo,332,NA
Colombia,2006,threestate_amb,3,945.9946017,amb_combo,332,NA
Colombia,2006,threestate_lb,1,271.2712952,lb2006,332,NA
Colombia,2006,threestate_lb,2,299.806874,lb2006,332,NA
Colombia,2006,threestate_lb,3,611.8602523,lb2006,332,NA
Colombia,2007,church_amb,1,47,amb_colombia2007,332,NA
Colombia,2007,church_amb,2,59,amb_colombia2007,332,NA
Colombia,2007,church_amb,3,119,amb_colombia2007,332,NA
Colombia,2007,church_amb,4,226,amb_colombia2007,332,NA
Colombia,2007,church_amb,5,264,amb_colombia2007,332,NA
Colombia,2007,church_amb,6,275,amb_colombia2007,332,NA
Colombia,2007,church_amb,7,404,amb_colombia2007,332,NA
Colombia,2007,church_lb,1,100.6769618,lb2007,332,NA
Colombia,2007,church_lb,2,218.5765303,lb2007,332,NA
Colombia,2007,church_lb,3,692.1220968,lb2007,332,NA
Colombia,2007,church_lb,4,188.6244111,lb2007,332,NA
Colombia,2007,strong_amb_1,1,159,amb_colombia2007,332,NA
Colombia,2007,strong_amb_1,2,1265,amb_colombia2007,332,NA
Colombia,2007,threestate_amb,1,235,amb_colombia2007,332,NA
Colombia,2007,threestate_amb,2,160,amb_colombia2007,332,NA
Colombia,2007,threestate_amb,3,937,amb_colombia2007,332,NA
Colombia,2007,threestate_lb,1,241.3893122,lb2007,332,NA
Colombia,2007,threestate_lb,2,377.5817076,lb2007,332,NA
Colombia,2007,threestate_lb,3,581.0289803,lb2007,332,NA
Colombia,2008,church_amb,1,32.99981169,amb_combo,332,NA
Colombia,2008,church_amb,2,50.99970897,amb_combo,332,NA
