"","ISO","year","dependence","wdi_pop","country","country_name","COWcode","Region_UN","muslism_prop_2010","muslism_prop_1990","dependence_pc","dependence_pc_di","dependence_pc_di_m1","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1","mdprgdp_grwth_r","imfgdp_grwth_r","mdprgdp_grwth","imfgdp_grwth","imfgdp_grwth_lag1","mdprgdp_grwth_lag1","imfgdp_grwth_rlag1","mdprgdp_grwth_rlag1","firstyear","regime","country_text_id","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime","Vdem_liberal","Vdem_corruption","liberal_sd","polyarchy_sd","libdem_sd","corr_sd","Vdem_libdem_m1","Vdem_libdem_m2","Region_libdem","Chgdem","upchgdem","downchgdem","Region_libdem_m1"
"18","BFA",1986,7.664711481,7930694,"Burkina Faso","Burkina Faso",NA,NA,NA,NA,131.2965077,0,NA,7.446001498,6.325640024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BDI",1986,8.575432767,4886743,"Burundi","Burundi",NA,NA,NA,NA,111.3091173,0,NA,7.168579897,6.21322729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","KHM",1986,NA,7960949,"Cambodia","Cambodia",NA,NA,NA,NA,0,0,NA,6.994849986,7.06905454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CMR",1986,4.983188915,10395480,"Cameroon","Cameroon",NA,NA,NA,NA,154.628352,0,NA,8.040124664,7.739844144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CAN",1986,1.98337578,26100278,"Canada","Canada",NA,NA,NA,NA,539.6963834,0,NA,10.21137658,9.738082532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CPV",1986,0.695834672,316616,"Cape Verde","Cape Verde",NA,NA,NA,NA,14.93957042,0,NA,7.671826798,7.218491184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CHL",1986,7.041954594,12445823,"Chile","Chile",NA,NA,NA,NA,435.1223744,0,NA,8.728911725,8.32783551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CHN",1986,5.521697847,1066790000,"China","China",NA,NA,NA,NA,133.0177011,0,NA,7.786967003,6.520742042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","COL",1986,3.196300094,30572478,"Colombia","Colombia",NA,NA,NA,NA,210.7001022,0,NA,8.793612072,8.300481512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CRI",1986,2.515585463,2810242,"Costa Rica","Costa Rica",NA,NA,NA,NA,196.2156661,0,NA,8.961879013,8.321602922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CIV",1986,3.56840161,10307281,"Côte d’Ivoire","C<f4>te d<U+0092>Ivoire",NA,NA,NA,NA,118.3638814,0,NA,8.106816039,7.990103642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","HRV",1986,NA,4721446,"Croatia","Croatia",NA,NA,NA,NA,302.0931,0,NA,9.713416042,9.783605647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CYP",1986,0.04662698,712340,"Cyprus","Cyprus",NA,NA,NA,NA,7.720495372,0,NA,9.714624648,8.971149382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CZE",1986,NA,10342227,"Czechia","Czechia",NA,NA,NA,NA,761.3002,0,NA,9.847816268,10.05299582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","DNK",1986,0.255415032,5120534,"Denmark","Denmark",NA,NA,NA,NA,60.44396723,0,NA,10.07175244,9.812158475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","DOM",1986,0.5668519,6596962,"Dominican Republic","Dominican Republic",NA,NA,NA,NA,27.83809679,0,NA,8.499232866,8.026135334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ECU",1986,5.817890458,9292474,"Ecuador","Ecuador",NA,NA,NA,NA,289.0909769,0,NA,8.510973892,8.353837954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","EGY",1986,8.606693967,50602354,"Egypt","Egypt",NA,NA,NA,NA,371.3788447,0,NA,8.369852604,8.146191822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SLV",1986,0.308831583,5002336,"El Salvador","El Salvador",NA,NA,NA,NA,8.591694635,0,NA,7.930925372,7.804029061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","EST",1986,NA,1540190,"Estonia","Estonia",NA,NA,NA,NA,NA,NA,NA,9.20763672,8.982175407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","SWZ",1986,7.961496194,723595,"Eswatini","Eswatini",NA,NA,NA,NA,325.7048093,0,NA,8.316544718,7.845382688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ETH",1986,10.63283999,41965693,"Ethiopia","Ethiopia",NA,NA,NA,NA,104.5208171,0,NA,6.89060912,5.85472864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","FIN",1986,0.651283278,4918154,"Finland","Finland",NA,NA,NA,NA,137.2644637,0,NA,9.955890231,9.567124294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","FRA",1986,0.109911017,56976123,"France","France",NA,NA,NA,NA,24.02325094,0,NA,9.992276515,9.599218692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","GAB",1986,10.02169322,850048,"Gabon","Gabon",NA,NA,NA,NA,840.4191937,0,NA,9.034318928,9.363963884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","GEO",1986,NA,4704500,"Georgia","Georgia",NA,NA,NA,NA,NA,NA,NA,9.491979221,9.817032269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","DEU",1986,0.258286896,77720436,"Germany","Germany",NA,NA,NA,NA,59.03921866,0,NA,10.03705644,9.908726845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","GHA",1986,4.849310056,13164837,"Ghana","Ghana",NA,NA,NA,NA,79.33471251,0,NA,7.400009517,7.17587078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","GRC",1986,0.242757028,9967213,"Greece","Greece",NA,NA,NA,NA,34.28457511,0,NA,9.555559953,9.365246229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
