survey,item,variable,values,non_response
lb1997,threestate_12,sp31,"c(2,3,1)",c(-1:-2)
,,,,
lb1998,threestate_12,sp28,"c(2,3,1)",c(-1:-2)
,,,,
lb2000,threestate_12,P29ST,"c(2,3,1)",c(-1:-2)
,,,,
lb2001,threestate_12,p46st,"c(2,3,1)",c(-1:-2)
,,,,
lb2002,threestate_12,p32st,"c(2,3,1)",c(-1:-2)
,,,,
lb2002,church_21,p38no2c,c(4:1),c(-1:-2)
,,,,
lb2003,threestate_12,p14st,"c(2,3,1)",c(-1:-2)
,,,,
lb2003,church_21,p16st_c,c(4:1),c(-1:-2)
,,,,
lb2004,threestate_12,p13st,"c(2,3,1)",c(-1:-2)
,,,,
lb2004,church_21,p22sta,c(4:1),c(-1:-2)
,,,,
lb2005,threestate_12,p16st,"c(2,3,1)",c(-1:-2)
,,,,
lb2005,church_21,p25stb,c(4:1),c(-1:-2)
,,,,
lb2006,threestate_12,p17st,"c(2,3,1)",c(-1:-2)
,,,,
lb2006,church_21,p22st_a,c(4:1),c(-1:-2)
,,,,
lb2007,threestate_12,p9st,"c(2,3,1)",c(-1:-2)
,,,,
lb2007,church_21,p13sta,c(4:1),c(-1:-2)
,,,,
lb2008,threestate_12,p13st,"c(2,3,1)",c(-1:-2)
,,,,
lb2008,church_21,p19s_ta,c(4:1),c(-1:-2)
,,,,
lb2009,threestate_12,p10st,"c(2,3,1)",c(-1:-2)
,,,,
lb2009,church_21,p20st_a,c(4:1),c(-1:-2)
,,,,
lb2010,threestate_12,P10ST ,"c(2,3,1)","c(0,-1,-2,8)"
,,,,
lb2010,church_21,P14ST_A,c(4:1),"c(0,-1,-2)"
,,,,
lb2011,threestate_12,P13ST,"c(2,3,1)","c(-1,-2)"
,,,,
lb2011,church_21,P16ST_A,c(4:1),"c(-1,-2)"
,,,,
lb2013,threestate_12,P12STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2013,church_21,P43ST_A,c(4:1),"c(-1,-2)"
,,,,
lb2015,threestate_12,P11STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2015,church_21,P13ST_A,c(4:1),c(-1)
,,,,
lb2016,threestate_12,P8STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2016,church_21,P31STA  ,c(4:1),"c(-1,-2)"
,,,,
lb2017,threestate_12,P8STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2017,church_21,P22ST,c(4:1),c(-1)
,,,,
pew2002,strong_36,q47,c(2:1),"c(3,4)"
,,,,
pew2002,impdemoc_81,q41b,c(4:1),"c(5,6)"
,,,,
pew2005_6,strong_36,Q33,c(2:1),"c(8,9)"
,,,,
pew2006,strong_36,Q5b_leader_dem,c(2:1),"c(8,9)"
,,,,
pew2007,strong_36,Q55,c(2:1),"c(8,9)"
,,,,
pew2007,impdemoc_81,Q51B,c(4:1),"c(8,9)"
,,,,
pew2008,strong_36,Q58A,c(2:1),"c(8,9)"
,,,,
pew2009,strong_36,Q35,c(2:1),"c(8,9)"
,,,,
